bookid,title,description,author,tags
32,Node.js Succinctly,"Use Node.js to create faster network and server-side applications on any scale, improve your existing database applications, or create web apps with JSON data.",Agus Kurniawan,nodejs|json
33,BI Solutions Using SSAS Tabular Model Succinctly,Inform the decision-making process by building BI solutions with tabular data models in SSAS.,Parikshit Savjani,bi
34,LightSwitch Mobile Business Apps Succinctly,Single-page HTML apps are a snap with LightSwitch.,Jan Van der Haegen,lightswitch|spa
35,HDInsight Succinctly,Master the high-level languages and other features necessary to process data with HDInsight.,James Beresford,hdinsight
36,Neural Networks Using C# Succinctly,"Neural networks are on the cutting edge of software development. Learn what they are, how they work, and how to write your own from scratch.",James McCaffrey,neural-netrworks
37,R Succinctly,Begin developing with the powerful R programming language and find new ways for R to fulfill your data needs.,Barton Poulson,r|data
38,MongoDB Succinctly,"Learn to use MongoDB, the popular open-source database system.",Agus Kurniawan,mongodb
39,Entity Framework Code First Succinctly,Master the newest development mode for Entity Framework.,Ricardo Peres,entity-framework
40,Android Programming Succinctly,Navigate the key requirements for designing an Android application.,Ryan Hodson,android
41,PowerShell Succinctly,"Learn to leverage a variety of PowerShell commands to invoke scripts that work with existing frameworks, including .NET and XML, to optimize productivity.",Rui Machado,powershell
42,NHibernate Succinctly,"Discover the intricacies of NHibernate, an established and powerful Object/Relational model (ORM).",Ricardo Peres,nhibernate|orm
43,MATLAB Succinctly,Learn the essential skills needed to use the flexible MATLAB system.,Dmitri Nesteruk ,matlab
44,Localization for .NET Succinctly,Learn to write applications that support different languages and cultures.,Jonas Gauffin,localization|net
45,Imperative to Functional Programming Succinctly,"Learn the main concepts behind functional programming such as currying, partial application, and monads. Combine functional programming with imperative programming projects.",Marc Clifton,imperative-programming
46,Regular Expressions Succinctly,Use regular expressions to quickly solve basic programming problems in Microsoft Visual Studio.,Joe Booth,regular-expressions
47,Prism 4 Succinctly,Reduce the amount of work needed to produce well-designed solutions by mastering Microsoft Prism 4.,Eric Stitt,prism4
48,ServiceStack Succinctly,"Learn how to use ServiceStack, a fast, simplified, open-source alternative to web service frameworks.",Zoran Maksimovic,servicestack
49,SharePoint 2013 App Model Succinctly,Learn to design and deploy apps with the newest SharePoint development model.,Fabio Franzini,sharepoint-2013
50,Machine Learning Using C# Succinctly,Learn how to apply different machine learning techniques to data analysis problems.,James McCaffrey,machine-learning

